time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-04-21 10:51:00,329.89,329.69,329.78,197.2,65039.18,329.79,direct,
2023-04-21 10:52:00,329.88,329.5,329.79,309.83,102136.87,329.5,direct,
2023-04-21 10:53:00,329.77,329.49,329.5,453.38,149427.03,329.59,direct,
2023-04-21 10:54:00,329.78,329.49,329.59,297.37,98010.88,329.49,direct,
2023-04-21 10:55:00,329.88,329.49,329.49,294.07,96948.59,329.78,direct,
2023-04-21 10:56:00,329.88,329.48,329.78,571.15,188267.55,329.49,direct,
2023-04-21 10:57:00,329.58,329.01,329.49,1950.19,642382.09,329.19,direct,
2023-04-21 10:58:00,329.48,329.18,329.19,196.38,64673.34,329.48,direct,
2023-04-21 10:59:00,329.78,329.39,329.48,383.42,126379.08,329.69,direct,
2023-04-21 11:00:00,330.17,329.69,329.69,1059.44,349603.06,329.99,direct,
2023-04-21 11:01:00,330.27,329.8,329.99,550.39,181671.8,329.8,direct,
2023-04-21 11:02:00,329.89,329.61,329.8,326.91,107799.54,329.79,direct,
2023-04-21 11:03:00,329.89,329.79,329.79,237.7,78399.35,329.79,direct,
2023-04-21 11:04:00,329.88,329.4,329.79,396.8,130786.89,329.49,direct,
2023-04-21 11:05:00,329.88,329.4,329.49,2596.61,856059.59,329.7,direct,
2023-04-21 11:06:00,329.98,329.7,329.7,595.09,196280.28,329.7,direct,
2023-04-21 11:07:00,329.79,329.3,329.7,436.5,143827.04,329.3,direct,
2023-04-21 11:08:00,329.48,329.29,329.3,241.51,79541.21,329.3,direct,
2023-04-21 11:09:00,329.39,328.73,329.3,2433.22,800626.7,328.89,direct,
2023-04-21 11:10:00,328.99,328.61,328.89,740.16,243338.4,328.79,direct,
2023-04-21 11:11:00,328.79,328.39,328.79,1074.7,353119.18,328.68,direct,
2023-04-21 11:12:00,328.69,328.2,328.68,792.23,260136.98,328.29,direct,
2023-04-21 11:13:00,328.29,327.79,328.29,3048.01,999723.22,327.79,direct,
2023-04-21 11:14:00,327.98,327.6,327.79,1450.13,475267.71,327.89,direct,
2023-04-21 11:15:00,328.45,327.69,327.89,1556.08,510475.21,328.36,direct,
2023-04-21 11:16:00,328.39,327.81,328.36,930.26,305211.05,328.09,direct,
2023-04-21 11:17:00,328.18,327.82,328.09,3076.53,1009152.65,328.08,direct,
2023-04-21 11:18:00,328.58,328.08,328.08,539.66,177207.33,328.58,direct,
2023-04-21 11:19:00,328.58,327.99,328.58,769.3,252580.29,327.99,direct,
2023-04-21 11:20:00,328.09,325.44,327.99,14227.54,4642546.28,325.89,direct,
2023-04-21 11:21:00,326.57,325.89,325.89,1226.1,399959.24,326.48,direct,
2023-04-21 11:22:00,326.78,326.48,326.48,1346.29,439967.34,326.78,direct,
2023-04-21 11:23:00,326.88,326.69,326.78,422.61,138095.15,326.78,direct,
2023-04-21 11:24:00,326.97,326.68,326.78,524.98,171613.82,326.89,direct,
2023-04-21 11:25:00,326.99,326.8,326.89,616.31,201467.06,326.89,direct,
2023-04-21 11:26:00,326.98,326.88,326.89,349.1,114132.33,326.88,direct,
2023-04-21 11:27:00,326.98,326.88,326.88,146.99,48044.41,326.98,direct,
2023-04-21 11:28:00,327.28,326.71,326.98,3146.01,1028762.05,327.19,direct,
2023-04-21 11:29:00,327.27,327.09,327.19,214.32,70114.44,327.19,direct,
2023-04-21 11:30:00,327.28,326.99,327.19,432.59,141509.29,327.09,direct,
2023-04-21 11:31:00,327.28,326.9,327.09,422.04,138059.55,326.9,direct,
2023-04-21 11:32:00,327.28,326.7,326.9,1244.42,406993.8,327.28,direct,
2023-04-21 11:33:00,327.48,327.19,327.28,993.9,325329.51,327.39,direct,
2023-04-21 11:34:00,327.39,327.01,327.39,382.62,125190.93,327.18,direct,
2023-04-21 11:35:00,327.19,327.0,327.18,235.76,77125.04,327.0,direct,
2023-04-21 11:36:00,327.0,326.69,327.0,360.5,117807.76,326.79,direct,
2023-04-21 11:37:00,326.98,326.42,326.79,1625.54,531065.03,326.5,direct,
2023-04-21 11:38:00,326.79,326.41,326.5,671.78,219389.38,326.69,direct,
2023-04-21 11:39:00,326.69,326.6,326.69,383.86,125377.71,326.6,direct,
2023-04-21 11:40:00,326.69,326.59,326.6,193.24,63115.16,326.59,direct,
2023-04-21 11:41:00,326.69,326.19,326.59,1864.89,608727.14,326.2,direct,
2023-04-21 11:42:00,326.57,326.19,326.2,715.08,233402.66,326.39,direct,
2023-04-21 11:43:00,326.59,326.3,326.39,1274.57,416062.48,326.39,direct,
2023-04-21 11:44:00,326.39,326.1,326.39,483.45,157741.5,326.1,direct,
2023-04-21 11:45:00,326.29,326.0,326.1,488.6,159379.08,326.2,direct,
2023-04-21 11:46:00,326.38,326.1,326.2,378.63,123510.44,326.1,direct,
2023-04-21 11:47:00,326.19,325.72,326.1,1056.36,344286.29,325.98,direct,
2023-04-21 11:48:00,326.18,325.8,325.98,253.41,82605.62,326.09,direct,
2023-04-21 11:49:00,326.19,326.09,326.09,71.92,23454.98,326.18,direct,
2023-04-21 11:50:00,326.49,326.09,326.18,857.83,279960.32,326.49,direct,
2023-04-21 11:51:00,326.89,326.4,326.49,764.76,249790.17,326.8,direct,
2023-04-21 11:52:00,326.99,326.7,326.8,297.99,97402.96,326.9,direct,
2023-04-21 11:53:00,326.99,326.8,326.9,701.61,229358.97,326.8,direct,
2023-04-21 11:54:00,326.99,326.79,326.8,872.84,285339.55,326.99,direct,
2023-04-21 11:55:00,326.99,326.89,326.99,124.86,40827.27,326.99,direct,
2023-04-21 11:56:00,327.09,326.8,326.99,877.46,286893.97,326.89,direct,
2023-04-21 11:57:00,326.9,326.7,326.89,317.63,103802.54,326.79,direct,
2023-04-21 11:58:00,327.09,326.69,326.79,528.81,172895.56,327.09,direct,
2023-04-21 11:59:00,327.09,326.8,327.09,196.75,64322.61,326.8,direct,
2023-04-21 12:00:00,326.99,326.79,326.8,329.53,107719.76,326.99,direct,
2023-04-21 12:01:00,326.99,326.89,326.99,313.17,102380.35,326.99,direct,
2023-04-21 12:02:00,326.99,326.51,326.99,905.09,295836.7,326.51,direct,
2023-04-21 12:03:00,326.89,326.5,326.51,430.0,140506.71,326.89,direct,
2023-04-21 12:04:00,326.89,326.42,326.89,303.92,99269.06,326.5,direct,
2023-04-21 12:05:00,326.59,326.01,326.5,935.53,305166.36,326.01,direct,
2023-04-21 12:06:00,326.1,325.13,326.01,3285.84,1069800.35,325.67,direct,
2023-04-21 12:07:00,325.68,325.31,325.67,1968.66,640804.87,325.58,direct,
2023-04-21 12:08:00,326.28,325.49,325.58,1136.96,370581.21,326.28,direct,
2023-04-21 12:09:00,326.47,326.1,326.28,756.83,246921.07,326.38,direct,
2023-04-21 12:10:00,326.39,326.1,326.38,365.97,119399.4,326.1,direct,
2023-04-21 12:11:00,326.38,326.1,326.1,373.14,121732.49,326.29,direct,
2023-04-21 12:12:00,326.58,326.2,326.29,814.82,265946.73,326.49,direct,
2023-04-21 12:13:00,326.59,326.4,326.49,216.96,70840.04,326.59,direct,
