time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-04-21 10:51:00,28018.91,28011.5,28012.39,42.32,1185407.44,28018.72,direct,
2023-04-21 10:52:00,28018.72,27992.44,28018.72,79.69,2231043.15,27993.07,direct,
2023-04-21 10:53:00,28008.25,27983.36,27993.07,108.25,3030113.97,28003.12,direct,
2023-04-21 10:54:00,28009.86,27996.84,28003.12,64.63,1809876.19,27996.84,direct,
2023-04-21 10:55:00,27998.04,27990.07,27996.84,57.3,1603879.27,27997.98,direct,
2023-04-21 10:56:00,27997.98,27973.98,27997.98,71.62,2004283.79,27984.11,direct,
2023-04-21 10:57:00,27984.11,27948.04,27984.11,196.86,5503746.08,27970.95,direct,
2023-04-21 10:58:00,27991.22,27970.95,27970.95,64.27,1798455.28,27985.06,direct,
2023-04-21 10:59:00,28001.18,27984.56,27985.06,65.48,1832988.76,28001.17,direct,
2023-04-21 11:00:00,28005.56,27993.77,28001.17,63.25,1770915.38,28005.54,direct,
2023-04-21 11:01:00,28008.42,27994.91,28005.54,42.72,1196246.73,27994.91,direct,
2023-04-21 11:02:00,28006.82,27986.09,27994.91,44.1,1234581.86,28004.67,direct,
2023-04-21 11:03:00,28011.15,28004.42,28004.67,39.46,1105334.98,28004.93,direct,
2023-04-21 11:04:00,28005.07,27982.29,28004.93,63.09,1765683.44,27985.48,direct,
2023-04-21 11:05:00,28002.94,27985.48,27985.48,35.64,997696.23,28002.94,direct,
2023-04-21 11:06:00,28008.85,28002.94,28002.94,20.46,573061.45,28004.5,direct,
2023-04-21 11:07:00,28004.51,27987.38,28004.5,23.43,655791.17,27988.4,direct,
2023-04-21 11:08:00,27988.41,27982.18,27988.4,15.03,420667.25,27982.39,direct,
2023-04-21 11:09:00,27982.39,27977.49,27982.39,28.42,795258.48,27979.5,direct,
2023-04-21 11:10:00,27979.62,27964.19,27979.5,26.09,729672.13,27964.19,direct,
2023-04-21 11:11:00,27968.35,27945.72,27964.19,60.25,1684266.95,27968.35,direct,
2023-04-21 11:12:00,27970.22,27947.47,27968.35,70.81,1979660.53,27947.47,direct,
2023-04-21 11:13:00,27953.5,27940.61,27947.47,69.32,1937173.4,27948.34,direct,
2023-04-21 11:14:00,27956.36,27937.36,27948.34,66.8,1866678.86,27956.36,direct,
2023-04-21 11:15:00,27957.08,27938.32,27956.36,100.5,2808526.72,27954.97,direct,
2023-04-21 11:16:00,27957.93,27948.82,27954.97,36.18,1011440.08,27951.01,direct,
2023-04-21 11:17:00,27972.02,27951.01,27951.01,74.15,2073341.44,27972.01,direct,
2023-04-21 11:18:00,27992.63,27972.01,27972.01,102.28,2862466.14,27992.63,direct,
2023-04-21 11:19:00,28000.56,27984.29,27992.63,71.31,1996343.96,27985.75,direct,
2023-04-21 11:20:00,27985.75,27930.62,27985.75,135.44,3786541.93,27934.92,direct,
2023-04-21 11:21:00,27977.27,27924.3,27934.92,143.91,4021854.65,27977.19,direct,
2023-04-21 11:22:00,28001.67,27972.88,27977.19,75.09,2101902.74,28001.67,direct,
2023-04-21 11:23:00,28009.24,28000.7,28001.67,50.43,1412430.66,28006.45,direct,
2023-04-21 11:24:00,28011.37,27995.15,28006.45,54.32,1521134.45,28011.36,direct,
2023-04-21 11:25:00,28026.28,28011.36,28011.36,61.46,1722132.11,28024.15,direct,
2023-04-21 11:26:00,28026.23,28016.74,28024.15,52.01,1457510.96,28020.68,direct,
2023-04-21 11:27:00,28026.89,28019.21,28020.68,37.46,1049973.03,28020.54,direct,
2023-04-21 11:28:00,28020.55,28010.09,28020.54,25.94,726558.77,28010.1,direct,
2023-04-21 11:29:00,28010.41,28002.71,28010.1,25.2,705818.13,28008.03,direct,
2023-04-21 11:30:00,28008.56,28003.09,28008.03,32.62,913422.76,28005.65,direct,
2023-04-21 11:31:00,28005.66,27996.14,28005.65,35.53,995010.94,27996.14,direct,
2023-04-21 11:32:00,28035.57,27996.13,27996.14,81.31,2278056.07,28033.55,direct,
2023-04-21 11:33:00,28044.88,28033.32,28033.55,76.52,2145654.15,28037.39,direct,
2023-04-21 11:34:00,28043.18,28036.22,28037.39,38.53,1080372.53,28036.45,direct,
2023-04-21 11:35:00,28041.7,28031.58,28036.45,42.84,1201129.57,28041.69,direct,
2023-04-21 11:36:00,28043.1,28031.15,28041.69,78.12,2190356.39,28032.74,direct,
2023-04-21 11:37:00,28034.98,28028.69,28032.74,20.2,566195.96,28028.69,direct,
2023-04-21 11:38:00,28036.81,28028.45,28028.69,27.63,774537.0,28036.75,direct,
2023-04-21 11:39:00,28043.83,28036.75,28036.75,37.6,1054425.62,28038.73,direct,
2023-04-21 11:40:00,28038.73,28036.46,28038.73,16.07,450542.46,28036.46,direct,
2023-04-21 11:41:00,28041.38,28020.07,28036.46,101.34,2840638.23,28020.07,direct,
2023-04-21 11:42:00,28034.66,28012.75,28020.07,47.8,1339450.87,28034.65,direct,
2023-04-21 11:43:00,28046.5,28034.47,28034.65,66.79,1872983.92,28044.26,direct,
2023-04-21 11:44:00,28044.26,28020.6,28044.26,67.66,1896488.7,28020.75,direct,
2023-04-21 11:45:00,28023.35,28002.06,28020.75,87.96,2463884.64,28007.9,direct,
2023-04-21 11:46:00,28020.34,28006.38,28007.9,133.28,3733709.06,28006.96,direct,
2023-04-21 11:47:00,28006.96,27985.09,28006.96,69.09,1933759.07,27987.35,direct,
2023-04-21 11:48:00,28000.73,27974.67,27987.35,66.6,1864048.24,28000.35,direct,
2023-04-21 11:49:00,28012.37,27999.42,28000.35,39.72,1112433.29,28008.35,direct,
2023-04-21 11:50:00,28024.21,28008.34,28008.35,84.32,2362579.39,28022.62,direct,
2023-04-21 11:51:00,28048.89,28022.62,28022.62,84.54,2370253.69,28041.34,direct,
2023-04-21 11:52:00,28059.98,28040.24,28041.34,116.55,3269940.71,28057.62,direct,
2023-04-21 11:53:00,28068.59,28057.61,28057.62,50.03,1403954.92,28057.77,direct,
2023-04-21 11:54:00,28070.56,28052.97,28057.77,89.25,2504513.22,28070.56,direct,
2023-04-21 11:55:00,28092.97,28070.55,28070.56,113.93,3199675.99,28092.97,direct,
2023-04-21 11:56:00,28092.98,28073.04,28092.97,74.57,2093940.35,28075.18,direct,
2023-04-21 11:57:00,28081.67,28062.13,28075.18,74.58,2093780.97,28062.19,direct,
