time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-04-21 10:51:00,6.062,6.06,6.062,2731.93,16557.82,6.061,direct,
2023-04-21 10:52:00,6.061,6.059,6.061,1885.97,11426.68,6.059,direct,
2023-04-21 10:53:00,6.065,6.057,6.059,6132.21,37178.81,6.063,direct,
2023-04-21 10:54:00,6.066,6.062,6.063,5043.11,30574.14,6.062,direct,
2023-04-21 10:55:00,6.062,6.059,6.062,1816.23,11005.46,6.06,direct,
2023-04-21 10:56:00,6.061,6.054,6.06,10477.73,63455.89,6.055,direct,
2023-04-21 10:57:00,6.056,6.043,6.055,26044.23,157549.06,6.05,direct,
2023-04-21 10:58:00,6.057,6.05,6.05,9593.33,58082.68,6.054,direct,
2023-04-21 10:59:00,6.056,6.053,6.054,4745.51,28731.58,6.056,direct,
2023-04-21 11:00:00,6.056,6.05,6.056,10496.71,63532.83,6.054,direct,
2023-04-21 11:01:00,6.055,6.047,6.054,8527.53,51593.75,6.047,direct,
2023-04-21 11:02:00,6.052,6.045,6.047,4785.89,28942.93,6.051,direct,
2023-04-21 11:03:00,6.054,6.05,6.051,2949.76,17852.84,6.05,direct,
2023-04-21 11:04:00,6.051,6.041,6.05,11628.04,70273.56,6.041,direct,
2023-04-21 11:05:00,6.049,6.041,6.041,4290.78,25933.9,6.049,direct,
2023-04-21 11:06:00,6.051,6.049,6.049,3305.64,20000.29,6.049,direct,
2023-04-21 11:07:00,6.05,6.042,6.049,4193.94,25354.99,6.042,direct,
2023-04-21 11:08:00,6.044,6.041,6.042,3837.76,23189.09,6.044,direct,
2023-04-21 11:09:00,6.045,6.043,6.044,1812.7,10954.58,6.044,direct,
2023-04-21 11:10:00,6.044,6.04,6.044,2916.37,17618.34,6.041,direct,
2023-04-21 11:11:00,6.041,6.034,6.041,10355.12,62497.97,6.038,direct,
2023-04-21 11:12:00,6.04,6.037,6.038,2149.62,12982.03,6.037,direct,
2023-04-21 11:13:00,6.037,6.033,6.037,4419.7,26671.45,6.036,direct,
2023-04-21 11:14:00,6.036,6.029,6.036,5301.51,31972.5,6.035,direct,
2023-04-21 11:15:00,6.035,6.027,6.035,7194.08,43377.11,6.031,direct,
2023-04-21 11:16:00,6.034,6.03,6.031,1867.19,11262.2,6.03,direct,
2023-04-21 11:17:00,6.034,6.029,6.03,3500.58,21114.83,6.034,direct,
2023-04-21 11:18:00,6.046,6.034,6.034,15191.94,91808.44,6.046,direct,
2023-04-21 11:19:00,6.048,6.044,6.046,2622.5,15856.67,6.044,direct,
2023-04-21 11:20:00,6.045,6.028,6.044,8345.62,50366.56,6.03,direct,
2023-04-21 11:21:00,6.035,6.026,6.03,7554.59,45546.07,6.035,direct,
2023-04-21 11:22:00,6.042,6.035,6.035,2490.83,15042.96,6.042,direct,
2023-04-21 11:23:00,6.044,6.042,6.042,2745.94,16593.46,6.042,direct,
2023-04-21 11:24:00,6.044,6.041,6.042,3424.09,20692.39,6.044,direct,
2023-04-21 11:25:00,6.047,6.044,6.044,3030.62,18326.03,6.047,direct,
2023-04-21 11:26:00,6.048,6.046,6.047,2780.08,16808.58,6.046,direct,
2023-04-21 11:27:00,6.049,6.046,6.046,3034.85,18353.47,6.047,direct,
2023-04-21 11:28:00,6.047,6.044,6.047,1152.5,6967.17,6.044,direct,
2023-04-21 11:29:00,6.044,6.042,6.044,1539.6,9304.39,6.044,direct,
2023-04-21 11:30:00,6.044,6.039,6.044,2923.14,17655.28,6.039,direct,
2023-04-21 11:31:00,6.04,6.039,6.039,1529.21,9234.25,6.039,direct,
2023-04-21 11:32:00,6.051,6.038,6.039,4110.5,24853.39,6.051,direct,
2023-04-21 11:33:00,6.054,6.05,6.051,2372.72,14362.27,6.052,direct,
2023-04-21 11:34:00,6.053,6.049,6.052,1777.91,10756.7,6.049,direct,
2023-04-21 11:35:00,6.051,6.047,6.049,3741.92,22637.75,6.051,direct,
2023-04-21 11:36:00,6.051,6.049,6.051,4215.97,25500.04,6.049,direct,
2023-04-21 11:37:00,6.049,6.042,6.049,90983.27,549481.02,6.045,direct,
2023-04-21 11:38:00,6.05,6.044,6.045,9722.31,58796.21,6.05,direct,
2023-04-21 11:39:00,6.055,6.05,6.05,35185.63,213038.93,6.055,direct,
2023-04-21 11:40:00,6.06,6.054,6.055,39905.84,241846.94,6.055,direct,
2023-04-21 11:41:00,6.06,6.053,6.055,46766.9,283390.66,6.055,direct,
2023-04-21 11:42:00,6.056,6.045,6.055,33704.45,204049.38,6.052,direct,
2023-04-21 11:43:00,6.052,6.045,6.052,17078.25,103266.31,6.045,direct,
2023-04-21 11:44:00,6.045,6.036,6.045,52564.54,317281.42,6.036,direct,
2023-04-21 11:45:00,6.04,6.033,6.036,17598.84,106202.46,6.037,direct,
2023-04-21 11:46:00,6.04,6.036,6.037,3333.02,20124.66,6.038,direct,
2023-04-21 11:47:00,6.038,6.03,6.038,3320.58,20029.68,6.031,direct,
2023-04-21 11:48:00,6.033,6.028,6.031,7531.47,45419.36,6.033,direct,
2023-04-21 11:49:00,6.036,6.033,6.033,2028.81,12242.84,6.033,direct,
2023-04-21 11:50:00,6.039,6.033,6.033,1190.66,7187.56,6.039,direct,
2023-04-21 11:51:00,6.046,6.039,6.039,1213.02,7332.57,6.044,direct,
2023-04-21 11:52:00,6.048,6.044,6.044,1126.55,6812.69,6.048,direct,
2023-04-21 11:53:00,6.052,6.048,6.048,3399.13,20564.15,6.049,direct,
2023-04-21 11:54:00,6.049,6.045,6.049,3958.65,23935.22,6.047,direct,
2023-04-21 11:55:00,6.051,6.047,6.047,2430.94,14704.41,6.051,direct,
2023-04-21 11:56:00,6.051,6.047,6.051,1928.03,11661.94,6.047,direct,
2023-04-21 11:57:00,6.049,6.046,6.047,2005.26,12124.28,6.046,direct,
2023-04-21 11:58:00,6.049,6.046,6.046,1023.13,6188.16,6.049,direct,
2023-04-21 11:59:00,6.049,6.046,6.049,1396.83,8447.34,6.048,direct,
2023-04-21 12:00:00,6.048,6.044,6.048,4238.43,25619.91,6.046,direct,
2023-04-21 12:01:00,6.046,6.043,6.046,3120.97,18866.19,6.045,direct,
2023-04-21 12:02:00,6.045,6.036,6.045,6265.47,37827.47,6.036,direct,
