time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-04-21 10:51:00,7.459,7.453,7.456,5361.64,39983.82,7.459,direct,
2023-04-21 10:52:00,7.459,7.452,7.459,3801.9,28336.37,7.453,direct,
2023-04-21 10:53:00,7.461,7.45,7.453,10727.04,79990.35,7.461,direct,
2023-04-21 10:54:00,7.461,7.452,7.461,1962.77,14631.87,7.454,direct,
2023-04-21 10:55:00,7.454,7.449,7.454,2770.83,20644.36,7.453,direct,
2023-04-21 10:56:00,7.453,7.442,7.453,4890.16,36412.62,7.444,direct,
2023-04-21 10:57:00,7.444,7.432,7.444,18652.67,138707.7,7.435,direct,
2023-04-21 10:58:00,7.445,7.435,7.435,4547.4,33834.21,7.442,direct,
2023-04-21 10:59:00,7.446,7.442,7.442,1174.25,8742.47,7.445,direct,
2023-04-21 11:00:00,7.448,7.441,7.445,6941.34,51663.47,7.448,direct,
2023-04-21 11:01:00,7.449,7.444,7.448,1039.96,7743.85,7.445,direct,
2023-04-21 11:02:00,7.447,7.439,7.445,1721.33,12813.69,7.445,direct,
2023-04-21 11:03:00,7.449,7.445,7.445,1575.45,11733.65,7.448,direct,
2023-04-21 11:04:00,7.448,7.435,7.448,4461.01,33191.93,7.435,direct,
2023-04-21 11:05:00,7.441,7.434,7.435,5195.58,38649.12,7.441,direct,
2023-04-21 11:06:00,7.446,7.44,7.441,4504.74,33535.38,7.44,direct,
2023-04-21 11:07:00,7.44,7.43,7.44,5724.77,42554.07,7.432,direct,
2023-04-21 11:08:00,7.433,7.426,7.432,11598.03,86155.01,7.43,direct,
2023-04-21 11:09:00,7.431,7.429,7.43,1575.05,11702.46,7.431,direct,
2023-04-21 11:10:00,7.431,7.426,7.431,2630.33,19534.93,7.426,direct,
2023-04-21 11:11:00,7.428,7.416,7.426,7286.49,54082.01,7.428,direct,
2023-04-21 11:12:00,7.43,7.423,7.428,9190.98,68272.72,7.425,direct,
2023-04-21 11:13:00,7.428,7.421,7.425,3359.63,24940.37,7.428,direct,
2023-04-21 11:14:00,7.428,7.42,7.428,2729.51,20254.74,7.425,direct,
2023-04-21 11:15:00,7.427,7.413,7.425,9541.55,70786.65,7.421,direct,
2023-04-21 11:16:00,7.424,7.413,7.421,4483.72,33262.93,7.414,direct,
