time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2023-04-21 10:51:00,89.83,89.78,89.83,416.01,37359.43,89.79,direct,
2023-04-21 10:52:00,89.79,89.74,89.79,442.61,39725.2,89.74,direct,
2023-04-21 10:53:00,89.82,89.7,89.74,1406.07,126180.82,89.81,direct,
2023-04-21 10:54:00,89.84,89.77,89.81,639.96,57460.56,89.8,direct,
2023-04-21 10:55:00,89.8,89.76,89.8,641.64,57587.27,89.77,direct,
2023-04-21 10:56:00,89.77,89.67,89.77,1231.54,110460.94,89.71,direct,
2023-04-21 10:57:00,89.74,89.62,89.71,694.16,62233.84,89.68,direct,
2023-04-21 10:58:00,89.75,89.68,89.68,381.89,34265.86,89.75,direct,
2023-04-21 10:59:00,89.76,89.73,89.75,143.22,12851.8,89.74,direct,
2023-04-21 11:00:00,89.74,89.67,89.74,983.65,88236.55,89.69,direct,
2023-04-21 11:01:00,89.71,89.52,89.69,2239.31,200542.44,89.54,direct,
2023-04-21 11:02:00,89.6,89.48,89.54,751.47,67289.96,89.6,direct,
2023-04-21 11:03:00,89.64,89.56,89.6,475.54,42600.67,89.58,direct,
2023-04-21 11:04:00,89.59,89.3,89.58,4932.32,440995.26,89.3,direct,
2023-04-21 11:05:00,89.38,89.29,89.3,1666.21,148853.79,89.38,direct,
2023-04-21 11:06:00,89.46,89.38,89.38,725.03,64827.2,89.43,direct,
2023-04-21 11:07:00,89.43,89.31,89.43,1124.89,100522.13,89.32,direct,
2023-04-21 11:08:00,89.35,89.24,89.32,799.03,71339.2,89.27,direct,
2023-04-21 11:09:00,89.29,89.26,89.27,353.41,31550.16,89.28,direct,
2023-04-21 11:10:00,89.31,89.28,89.28,711.76,63552.55,89.29,direct,
2023-04-21 11:11:00,89.29,89.18,89.29,862.96,76998.18,89.25,direct,
2023-04-21 11:12:00,89.31,89.23,89.25,688.3,61441.86,89.28,direct,
2023-04-21 11:13:00,89.28,89.21,89.28,658.53,58758.45,89.23,direct,
2023-04-21 11:14:00,89.24,89.15,89.23,395.18,35245.51,89.24,direct,
2023-04-21 11:15:00,89.25,89.15,89.24,676.15,60328.0,89.18,direct,
2023-04-21 11:16:00,89.2,89.11,89.18,744.62,66398.18,89.11,direct,
2023-04-21 11:17:00,89.19,89.1,89.11,388.85,34662.89,89.19,direct,
2023-04-21 11:18:00,89.32,89.19,89.19,967.88,86430.51,89.32,direct,
2023-04-21 11:19:00,89.34,89.31,89.32,368.34,32903.02,89.31,direct,
2023-04-21 11:20:00,89.31,89.0,89.31,2919.83,260061.32,89.02,direct,
2023-04-21 11:21:00,89.2,88.96,89.02,1212.98,108042.11,89.19,direct,
2023-04-21 11:22:00,89.31,89.16,89.19,615.32,54912.13,89.31,direct,
2023-04-21 11:23:00,89.35,89.3,89.31,774.99,69232.95,89.32,direct,
2023-04-21 11:24:00,89.37,89.3,89.32,648.97,57972.76,89.37,direct,
2023-04-21 11:25:00,89.44,89.37,89.37,566.88,50690.25,89.44,direct,
2023-04-21 11:26:00,89.44,89.41,89.44,452.23,40444.48,89.42,direct,
2023-04-21 11:27:00,89.5,89.42,89.42,624.95,55912.65,89.48,direct,
